UMAP_1,UMAP_2,leiden,cell_type
5.197945,8.435175,1,Naive B cells
6.9199047,3.6729543,4,Plasma cells
7.910336,3.8188124,4,Plasma cells
5.294781,8.531083,1,Naive B cells
7.897455,5.94624,0,Plasma cells
5.0062933,3.921974,3,Plasma cells
10.015343,6.425868,0,Plasma cells
3.910867,3.8990943,3,Plasma cells
8.046261,8.81469,6,Naive B cells
8.692786,5.523843,0,Plasma cells
7.841043,6.3056226,0,Plasma cells
9.466097,6.666584,0,Plasma cells
5.5911684,1.8904393,2,Plasma cells
7.505608,4.063739,4,Plasma cells
7.437383,3.9551585,4,Plasma cells
6.288301,8.283382,1,Naive B cells
7.307454,2.8201008,4,Plasma cells
9.511278,7.5995502,0,Plasma cells
10.1606655,6.926952,0,Plasma cells
3.6369052,2.5770817,2,Plasma cells
6.479999,2.0513592,2,Plasma cells
8.58982,4.759681,4,Plasma cells
8.028549,6.0684505,0,Plasma cells
3.0720892,3.576845,2,Plasma cells
5.2701435,8.01741,1,Naive B cells
7.5390573,5.8573976,0,Plasma cells
8.439725,8.173416,0,Plasma cells
6.0533686,7.8374662,1,Naive B cells
8.043404,8.432088,0,Plasma cells
6.848779,7.191203,1,Naive B cells
7.0832562,6.661449,0,Plasma cells
5.1999846,7.541004,1,Naive B cells
8.486344,7.4177475,0,Plasma cells
3.6573946,7.75592,1,Naive B cells
5.4227777,9.159619,1,Naive B cells
10.193502,7.5715466,0,Plasma cells
8.12475,3.7686203,4,Plasma cells
6.0877705,7.1690617,1,Naive B cells
7.6259108,6.7438397,0,Plasma cells
9.071226,5.360638,0,Plasma cells
5.521566,1.9482535,2,Plasma cells
4.0439286,7.849922,1,Naive B cells
0.5249059,4.0212016,5,Plasma cells
4.9693475,2.5860198,2,Plasma cells
8.2008505,7.67511,0,Plasma cells
6.542744,7.7048836,1,Naive B cells
4.855301,6.66455,1,Naive B cells
8.512625,3.795878,4,Plasma cells
5.843927,2.6280844,2,Plasma cells
10.586534,6.504153,0,Plasma cells
6.760677,3.665076,4,Plasma cells
10.715342,6.5611463,0,Plasma cells
4.8696604,4.495946,3,Plasma cells
9.923148,4.9023924,0,Plasma cells
3.5098734,5.493821,3,Plasma cells
8.0163,6.0804667,0,Plasma cells
4.219627,5.9945445,3,Plasma cells
8.877272,7.1164923,0,Plasma cells
10.398154,7.336537,0,Plasma cells
8.697954,5.645286,0,Plasma cells
7.922943,8.259504,0,Plasma cells
8.104116,3.0592186,4,Plasma cells
5.6917677,8.63797,1,Naive B cells
7.2851205,8.022445,6,Naive B cells
1.857253,3.2657528,5,Plasma cells
8.520236,4.5962152,0,Plasma cells
6.2336946,2.0563612,2,Plasma cells
9.035236,5.5946918,0,Plasma cells
4.079784,6.2625313,3,Plasma cells
1.7049043,3.6325681,5,Plasma cells
10.327935,6.669547,0,Plasma cells
7.9815707,7.2228107,0,Plasma cells
8.5169935,5.7217727,0,Plasma cells
4.4142947,8.006739,1,Naive B cells
8.190078,6.637799,0,Plasma cells
2.2432663,4.571163,5,Plasma cells
9.387427,7.5193715,0,Plasma cells
9.516768,8.022882,0,Plasma cells
3.098098,3.122046,2,Plasma cells
6.116881,8.323804,1,Naive B cells
4.6139164,4.240763,3,Plasma cells
-0.20451203,3.2338977,5,Plasma cells
10.002847,7.30932,0,Plasma cells
7.4111915,3.394313,4,Plasma cells
7.9435835,6.670815,0,Plasma cells
7.4589934,6.387001,0,Plasma cells
8.494668,7.029516,0,Plasma cells
4.1869783,5.4500775,3,Plasma cells
5.7730403,8.697268,1,Naive B cells
5.4216437,7.9269485,1,Naive B cells
7.6592007,7.7149777,6,Naive B cells
6.7509475,1.788553,2,Plasma cells
9.726144,5.114393,0,Plasma cells
9.423426,8.189826,0,Plasma cells
9.9212,5.7674503,0,Plasma cells
6.5471845,2.6068237,2,Plasma cells
8.938082,7.4220357,0,Plasma cells
5.9376483,8.415887,1,Naive B cells
4.5347724,3.501575,3,Plasma cells
7.8612666,8.289837,6,Naive B cells
1.5511818,3.1227572,5,Plasma cells
9.879852,5.2500076,0,Plasma cells
3.9234428,6.9439454,1,Naive B cells
6.733981,2.4061499,2,Plasma cells
0.059065502,3.529732,5,Plasma cells
4.1012263,8.601602,1,Naive B cells
5.7447233,7.4469414,1,Naive B cells
5.116268,1.9429648,2,Plasma cells
9.785638,6.453358,0,Plasma cells
8.683488,3.5680075,4,Plasma cells
5.872947,7.972246,1,Naive B cells
8.177198,5.9586997,0,Plasma cells
0.89516395,3.6751423,5,Plasma cells
3.8384182,4.5394945,3,Plasma cells
8.342754,4.0838346,4,Plasma cells
8.549245,5.3761497,0,Plasma cells
9.71889,7.9204063,0,Plasma cells
0.740067,4.6949177,5,Plasma cells
4.728955,7.049569,1,Naive B cells
5.015741,2.8719807,2,Plasma cells
4.571214,7.934429,1,Naive B cells
7.6022906,3.5158303,4,Plasma cells
4.751932,7.9565682,1,Naive B cells
8.500379,7.3763328,0,Plasma cells
7.2236876,6.867357,0,Plasma cells
7.9940624,6.9841347,0,Plasma cells
6.994224,3.7612693,4,Plasma cells
2.5525782,4.1508656,5,Plasma cells
10.755049,5.9323173,0,Plasma cells
3.323462,3.6210268,2,Plasma cells
7.623123,8.942517,6,Naive B cells
4.408202,5.7057786,3,Plasma cells
9.227956,6.9044676,0,Plasma cells
8.826674,8.218489,0,Plasma cells
9.49359,6.7684736,0,Plasma cells
4.686279,5.063185,3,Plasma cells
5.792139,1.957337,2,Plasma cells
8.30181,7.264229,0,Plasma cells
7.566359,5.7061253,0,Plasma cells
8.699141,7.1972733,0,Plasma cells
10.986961,6.426426,0,Plasma cells
