UMAP_1,UMAP_2,cell_type
-5.5973825,1.1937939,Classical monocytes
-4.422015,4.259437,Classical monocytes
-4.1596622,5.546798,Classical monocytes
7.120439,10.0666,T cells
8.951372,-1.9861544,Plasma cells
-5.028243,2.5470846,Classical monocytes
-6.040547,6.106604,Classical monocytes
11.045287,-2.4151413,Plasma cells
6.1487064,9.798529,T cells
11.178188,12.274309,T cells
-4.960587,1.7026002,Classical monocytes
-5.3636417,1.6664891,Classical monocytes
-4.8899407,1.3894893,Classical monocytes
7.146969,8.919856,T cells
9.2425995,-0.8889725,Plasma cells
7.5513244,10.439871,T cells
9.9438,-1.731637,Naive B cells
9.917807,10.807331,T cells
12.886544,-0.3927455,Plasma cells
13.174737,3.8822184,T cells
12.43129,3.7308648,T cells
-5.325485,5.11013,Classical monocytes
12.847369,3.1525385,T cells
-5.07468,1.9779593,Classical monocytes
13.761205,9.116924,T cells
1.1339542,6.404377,Conventional dendritic cells
8.767751,11.08033,T cells
5.954955,9.790002,T cells
-6.4113207,3.814199,Classical monocytes
-4.602945,2.4400294,Classical monocytes
11.9991665,-0.2589825,Plasma cells
7.8754616,7.0036645,T cells
4.7165775,3.755088,Plasmacytoid dendritic cells
8.022997,9.151747,T cells
-5.0593076,5.761265,Classical monocytes
8.178769,-1.0241624,Naive B cells
13.487829,9.09682,T cells
9.424203,11.174741,T cells
-7.226213,6.1678243,Intermediate monocytes
-4.4219003,5.1661267,Classical monocytes
8.081572,10.8509,T cells
8.614333,11.530969,T cells
8.916186,-1.9899981,Plasma cells
8.503388,-2.5913374,Plasma cells
9.100412,7.4426317,T cells
9.148542,10.158561,T cells
-3.8446774,4.7763486,Classical monocytes
10.630685,11.637417,T cells
12.503919,3.4320703,T cells
12.285403,3.6404088,T cells
8.773849,-0.5306611,Plasma cells
10.976413,10.647981,T cells
10.596686,-1.477015,Plasma cells
-5.2962327,7.469247,Classical monocytes
12.630831,3.6547472,T cells
8.570146,-1.4027225,Plasma cells
12.685202,3.317229,T cells
7.3827324,10.016338,T cells
10.464514,10.361345,T cells
14.349027,9.846623,T cells
-3.077903,10.082971,Non-classical monocytes
14.473165,9.777275,T cells
8.484494,-0.07281637,Naive B cells
10.791232,-2.0779471,Plasma cells
13.43382,9.1892395,T cells
-4.4876046,3.8332179,Classical monocytes
8.536889,-1.7210559,Naive B cells
-8.16723,4.6939306,Intermediate monocytes
9.795746,-1.2489558,Plasma cells
10.491412,8.279569,T cells
7.6771083,9.016031,T cells
8.840494,-0.5310168,Plasma cells
-3.4347308,2.713393,Classical monocytes
-5.223471,1.0292728,Classical monocytes
-5.0910583,4.84738,Classical monocytes
9.752875,9.343945,T cells
14.714956,9.073195,T cells
7.445659,8.434714,T cells
10.368794,10.784711,T cells
-7.931334,4.126632,Intermediate monocytes
-4.6540422,4.0412445,Classical monocytes
8.718051,-0.9843477,Plasma cells
9.389553,10.36972,T cells
11.287796,12.564294,T cells
12.369261,-0.7541651,Plasma cells
-4.922339,0.41605735,Classical monocytes
10.642544,0.9393522,Plasma cells
6.623174,9.510751,T cells
9.967361,11.233495,T cells
-5.542097,5.2835765,Classical monocytes
-4.2801094,1.8503985,Classical monocytes
12.504702,-0.39866897,Plasma cells
-3.0543535,4.422876,Classical monocytes
-4.185466,4.0964856,Classical monocytes
10.794801,9.964308,T cells
-2.2762365,11.214891,Non-classical monocytes
11.170082,9.842006,T cells
12.864545,3.9657326,T cells
14.1493225,4.9401546,T cells
-4.6882973,4.024319,Classical monocytes
-5.4568152,7.5776267,Non-classical monocytes
7.5925474,9.42703,T cells
12.209825,-1.0377405,Plasma cells
9.416433,9.80228,T cells
10.976078,10.585648,T cells
-4.7665176,3.6797068,Classical monocytes
8.335979,-3.1019828,Naive B cells
-4.186151,4.89934,Classical monocytes
-6.4519053,4.2519555,Classical monocytes
9.940496,10.3742075,T cells
13.195383,8.406664,T cells
9.661963,10.502173,T cells
9.671577,12.2902155,T cells
6.979154,8.3206835,T cells
9.05479,-2.0441046,Plasma cells
10.893172,11.502499,T cells
-7.1199236,5.062284,Intermediate monocytes
12.356769,-0.9715764,Plasma cells
9.858791,11.3367605,T cells
-4.611857,8.374739,Classical monocytes
-3.4762826,9.035989,Non-classical monocytes
10.904423,11.640369,T cells
9.119332,11.238969,T cells
10.872922,-2.2435808,Plasma cells
8.82819,10.716101,T cells
11.544949,7.6555443,T cells
-2.4195542,6.3541737,Classical monocytes
-1.9236532,11.1622,Non-classical monocytes
-6.0778437,1.4564483,Classical monocytes
-4.085725,2.0313857,Classical monocytes
10.1207905,11.021452,T cells
11.443084,12.122405,T cells
-4.7803493,0.66643625,Classical monocytes
-4.769898,8.308848,Non-classical monocytes
12.935483,4.053449,T cells
-6.0517273,5.1507726,Classical monocytes
7.991735,10.792858,T cells
9.605761,-1.2481719,Naive B cells
12.199022,6.8267884,T cells
-5.8147182,1.0612673,Classical monocytes
-5.270377,3.2932355,Classical monocytes
9.222451,-0.8794463,Plasma cells
-4.547138,3.2421298,Classical monocytes
10.910858,11.694557,T cells
-6.1291246,4.334992,Classical monocytes
10.362943,9.566736,T cells
-5.358751,7.0245886,Classical monocytes
12.074019,-0.65902734,Plasma cells
8.862352,-0.5179892,Plasma cells
11.084269,10.15963,T cells
9.518113,11.394196,T cells
8.516651,7.4463444,T cells
-8.200706,5.113344,Intermediate monocytes
14.475807,8.71915,T cells
-6.2487144,3.8523273,Classical monocytes
8.8829365,10.6327305,T cells
-6.6734037,4.339127,Classical monocytes
-3.4064615,10.026324,Non-classical monocytes
10.765289,8.818597,T cells
10.413991,11.427986,T cells
8.75261,-0.7688267,Naive B cells
12.121787,-1.1246692,Plasma cells
4.723922,3.6238751,Plasmacytoid dendritic cells
-6.192269,6.317137,Classical monocytes
-5.064118,3.2845464,Classical monocytes
11.047567,-2.2544794,Plasma cells
9.810389,12.489865,T cells
10.361838,10.789558,T cells
10.296773,10.418931,T cells
8.28525,-2.2824867,Naive B cells
-4.008463,5.9969797,Classical monocytes
-4.0070558,5.1427054,Classical monocytes
-4.7911663,2.3128078,Classical monocytes
8.879912,7.233734,T cells
12.8554125,3.498934,T cells
12.906124,8.120192,T cells
-4.7318277,4.465273,Classical monocytes
10.737231,9.048973,T cells
-1.8477751,11.670013,Non-classical monocytes
9.084557,11.1925125,T cells
10.729004,11.700409,T cells
10.590923,8.608662,T cells
-4.2887135,0.75767404,Classical monocytes
13.724061,4.530775,T cells
11.249831,10.184918,T cells
-3.5980527,2.0279834,Classical monocytes
-4.50086,5.7350674,Classical monocytes
-5.235558,2.4004247,Classical monocytes
7.8158574,7.7626953,T cells
7.810337,-1.2685075,Naive B cells
-4.197425,2.6587715,Classical monocytes
11.7291155,10.744194,T cells
7.981193,11.307241,T cells
-3.948486,2.5236478,Classical monocytes
-4.2160335,3.4800866,Classical monocytes
0.91345525,6.6626577,Conventional dendritic cells
-4.1540704,8.304478,Non-classical monocytes
10.493673,10.045475,T cells
12.7375,4.0378175,T cells
12.507923,-0.7052226,Plasma cells
9.008034,-1.034743,Plasma cells
9.783758,11.996091,T cells
-4.7956223,3.6307108,Classical monocytes
-5.826259,5.170337,Classical monocytes
12.273168,6.6411567,T cells
8.161088,6.7999434,T cells
-6.294055,2.4093425,Classical monocytes
9.239543,-1.4142305,Plasma cells
-5.0311484,4.4142346,Classical monocytes
7.1439347,9.96803,T cells
8.59217,-2.2096405,Plasma cells
9.040286,11.190756,T cells
-4.9642787,7.5235443,Classical monocytes
10.031988,9.804196,T cells
12.95087,4.3966827,T cells
-5.585664,8.007402,Non-classical monocytes
9.001486,-1.0274308,Plasma cells
-5.125646,7.414575,Classical monocytes
-5.253902,3.964171,Classical monocytes
-4.4441285,5.901155,Classical monocytes
-4.1264725,3.2391915,Classical monocytes
10.190532,-1.9915642,Naive B cells
9.593278,-1.683385,Plasma cells
-3.9475894,6.439521,Classical monocytes
10.39767,0.825434,Plasma cells
10.94637,9.456823,T cells
7.7671065,-0.73749495,Naive B cells
13.873693,10.035945,T cells
-2.9121501,10.611047,Non-classical monocytes
13.371192,7.8862987,T cells
7.9598846,-1.6819457,Naive B cells
13.975202,8.764083,T cells
8.1173525,-2.4676774,Naive B cells
6.66606,10.009038,T cells
-4.1211734,1.8951658,Classical monocytes
11.472693,9.385654,T cells
8.107962,9.464914,T cells
10.367407,-1.3538595,Plasma cells
-4.827859,2.2508388,Classical monocytes
9.880812,9.681943,T cells
-2.7176242,4.3192635,Classical monocytes
11.866947,10.580254,T cells
12.353066,-0.6286121,Plasma cells
7.0665693,10.995311,T cells
-3.6413388,3.3119702,Classical monocytes
6.2925735,9.197232,T cells
10.171477,10.923593,T cells
8.639465,10.717862,T cells
-5.7216434,1.3721793,Classical monocytes
8.32914,10.939688,T cells
-1.9251652,11.339608,Non-classical monocytes
9.4192295,9.831757,T cells
7.395998,9.740966,T cells
13.717182,9.346652,T cells
-4.735385,1.0668854,Classical monocytes
9.764693,-1.1893065,Plasma cells
7.9530926,-0.6355296,Naive B cells
14.19259,9.428125,T cells
