UMAP_1,UMAP_2,leiden,patient_name
-4.635187,9.612404,7,p1_pre
4.039717,5.2277875,4,p1_pre
12.955422,2.6859152,13,p1_pre
13.792775,3.0992162,13,p1_pre
2.0167801,-5.506799,3,p1_pre
4.401731,6.5297656,4,p1_pre
12.536961,4.937843,13,p1_pre
6.095305,6.160496,4,p1_pre
11.172507,2.4964678,13,p1_pre
7.641101,4.7001944,15,p1_pre
7.092309,6.1887264,4,p1_pre
6.232303,14.162549,17,p1_pre
1.651924,9.399826,9,p1_pre
6.6654725,14.650935,17,p1_pre
-5.122173,9.442429,7,p1_pre
7.8190136,13.570463,17,p1_pre
11.727214,2.6556017,13,p1_pre
1.9434848,8.242426,9,p1_pre
1.6168822,6.8260946,8,p1_pre
5.2369943,7.805494,11,p1_pre
6.0577374,5.5140133,4,p1_pre
4.4316096,6.366716,4,p1_pre
6.805998,14.884199,17,p1_pre
1.819942,-4.719699,3,p1_pre
6.996518,5.207302,15,p1_pre
12.792267,4.8260713,13,p1_pre
5.403366,7.6817713,11,p1_pre
11.6818495,4.7549987,13,p1_pre
7.071808,7.681709,23,p1_pre
4.451845,6.31174,4,p1_pre
6.405614,14.539907,17,p1_pre
12.629188,4.58163,13,p1_pre
5.8782063,14.315971,17,p1_pre
7.861122,13.298392,17,p1_pre
1.7395049,8.98554,9,p1_pre
2.295988,9.728021,9,p1_pre
5.18341,5.3416247,4,p1_pre
11.55591,2.5168662,13,p1_pre
11.760677,2.6606033,13,p1_pre
1.6229544,8.26324,9,p1_pre
4.5674324,5.5321884,4,p1_pre
11.416916,2.7689106,13,p1_pre
6.3135595,5.9459333,4,p1_pre
-0.6496897,-2.6710894,1,p1_pre
7.143826,7.393988,23,p1_pre
6.807266,4.947174,15,p1_pre
11.678419,3.0496151,13,p1_pre
7.671014,5.0062604,15,p1_pre
0.8375715,5.134432,0,p1_pre
6.0930815,14.231101,17,p1_pre
-4.128726,8.19995,7,p1_pre
6.2917986,14.785963,17,p1_pre
5.641026,7.6744056,11,p1_pre
12.765569,4.745098,13,p1_pre
5.8787365,14.225622,17,p1_pre
11.354057,2.7399545,13,p1_pre
6.668483,7.419513,23,p1_pre
6.852156,14.93204,17,p1_pre
13.836418,3.1411757,13,p1_pre
4.1882644,5.863209,4,p1_pre
7.019544,7.392111,23,p1_pre
7.970697,12.949149,17,p1_pre
13.812779,3.2000465,13,p1_pre
7.618669,13.866889,17,p1_pre
12.79008,4.774865,13,p1_pre
1.7687782,7.7517085,9,p1_pre
6.9452014,7.1173286,23,p1_pre
6.650594,6.6023164,23,p1_pre
11.550715,2.5196848,13,p1_pre
-2.4272914,8.897318,7,p1_pre
6.9354396,7.5571914,23,p1_pre
5.2549963,8.03477,11,p1_pre
6.242176,6.7120786,23,p1_pre
-0.13403651,4.6655765,0,p1_pre
-4.8534784,7.3688903,8,p1_pre
7.6861987,5.0897145,15,p1_pre
6.3388953,14.453156,17,p1_pre
6.923111,7.3255296,23,p1_pre
7.661922,4.829794,15,p1_pre
6.341468,14.35765,17,p1_pre
5.605365,7.035214,11,p1_pre
2.006697,-5.2053046,3,p1_pre
6.160353,14.296447,17,p1_pre
-0.2901604,7.4134083,10,p1_pre
11.468082,2.5248587,13,p1_pre
3.3859599,6.2042923,4,p1_pre
-1.2879132,5.7156377,8,p1_pre
11.93521,2.790708,13,p1_pre
1.595053,9.994112,9,p1_pre
2.2521274,9.078207,9,p1_pre
11.082087,4.6182423,13,p1_pre
5.4462943,7.941036,11,p1_pre
6.9974027,7.5858946,23,p1_pre
2.496742,9.982439,9,p1_pre
2.1045005,-4.1954,5,p1_pre
-2.678178,9.030099,7,p1_pre
6.027788,14.402067,17,p1_pre
2.6424794,-3.174354,5,p1_pre
6.2947707,5.5276012,4,p1_pre
2.0701768,9.721721,9,p1_pre
6.059061,5.73375,4,p1_pre
1.0378274,6.2103977,0,p1_pre
7.453698,4.4888935,15,p1_pre
1.7888067,10.24672,9,p1_pre
6.9905953,4.9890237,15,p1_pre
11.540573,2.871456,13,p1_pre
1.9670365,4.926044,0,p1_pre
2.5762649,9.1581955,9,p1_pre
-1.4482933,5.4572477,8,p1_pre
6.1423173,14.03011,17,p1_pre
7.950766,13.396922,17,p1_pre
4.3549104,6.2706256,4,p1_pre
