UMAP_1,UMAP_2,leiden,cell_type
8.051362,5.2189317,4,T cells
9.845558,0.8207909,0,T cells
8.863573,5.4096146,4,T cells
8.329705,6.1972604,4,T cells
6.9195514,9.349596,2,T cells
9.387008,0.73246443,0,T cells
10.295552,0.73227805,0,T cells
10.730828,3.3840652,1,T cells
9.388894,4.4838686,4,T cells
10.087951,1.053613,0,T cells
7.565853,-0.04225767,6,T cells
8.052587,5.7686014,4,T cells
7.993182,1.4403827,6,T cells
7.009853,0.9147564,6,T cells
-3.9503288,1.953296,3,T cells
7.167719,7.9526677,2,T cells
11.168745,0.35080555,0,T cells
11.702918,3.7332025,1,T cells
